symbol,min_buy,max_buy,last_buy,mean_buy
SGD,116721.74,116747.97,116747.97,116734.1390909091
THB,3026994.42,3027674.71,3027674.71,3027315.89
TRY,2998050.28,2998724.07,2998724.07,2998368.6772727272
TWD,2830285.24,2830921.33,2830921.33,2830585.820909091
USD,87258.42,87278.03,87278.03,87267.68636363637
ARS,87062903.8,87082470.53,87082470.53,87073010.09166667
AUD,133748.65,133778.71,133778.71,133764.175
BRL,501561.28,501674.0,501674.0,501619.5016666667
CAD,121814.06,121841.43,121841.43,121828.19666666667
CHF,77078.06,77095.39,77095.39,77087.00833333333
CLP,85944303.27,85963618.61,85963618.61,85954279.71833333
CNY,629124.45,629265.84,629265.84,629197.475
CZK,2082121.03,2082588.97,2082588.97,2082362.7249999999
DKK,613244.46,613382.28,613382.28,613315.645
EUR,82208.33,82226.81,82226.81,82217.875
GBP,68490.09,68505.48,68505.48,68498.04
HKD,678743.94,678896.49,678896.49,678822.73
HRK,402493.83,402584.29,402584.29,402540.5516666667
HUF,33642903.28,33650464.27,33650464.27,33646808.555
INR,7363519.93,7365174.83,7365174.83,7364374.691666666
ISK,11407668.0,11410231.78,11410231.78,11408992.201666668
JPY,13519469.79,13522508.19,13522508.19,13521039.135
KRW,122239394.84,122266867.22,122266867.22,122253584.425
NGN,146293095.67,146325973.95,146325973.95,146310077.42333332
NZD,147271.0,147304.1,147304.1,147288.09666666668
PLN,357219.11,357299.39,357299.39,357260.575
RON,319894.22,319966.11,319966.11,319931.3516666666
RUB,8599361.91,8601294.55,8601294.55,8600360.126666667
SEK,951412.53,951626.35,951626.35,951522.9716666667
SGD,116721.74,116747.97,116747.97,116735.29166666667
THB,3026994.42,3027674.71,3027674.71,3027345.7916666665
TRY,2998050.28,2998724.07,2998724.07,2998398.293333333
TWD,2830285.24,2830921.33,2830921.33,2830613.78
USD,87258.42,87278.03,87278.03,87268.54833333332
ARS,87062903.8,87082470.53,87082470.53,87073737.81769231
AUD,133748.65,133778.71,133778.71,133765.29307692306
BRL,501561.28,501674.0,501674.0,501623.6938461539
CAD,121814.06,121841.43,121841.43,121829.21461538461
CHF,77078.06,77095.39,77095.39,77087.65307692307
CLP,85944303.27,85963618.61,85963618.61,85954998.09461538
CNY,629124.45,629265.84,629265.84,629202.7338461538
CZK,2082121.03,2082588.97,2082588.97,2082380.1284615383
DKK,613244.46,613382.28,613382.28,613320.7707692308
EUR,82208.33,82226.81,82226.81,82218.56230769231
GBP,68490.09,68505.48,68505.48,68498.61230769231
HKD,678743.94,678896.49,678896.49,678828.4038461539
HRK,402493.83,402584.29,402584.29,402543.9161538462
HUF,33642903.28,33650464.27,33650464.27,33647089.76384615
INR,7363519.93,7365174.83,7365174.83,7364436.240769231
ISK,11407668.0,11410231.78,11410231.78,11409087.553846152
